netstrain	pxy1	varcorCSYM	Pxy[Mpa]
0.0050	0.0177	96.0774	17.7180
0.0100	0.0212	96.0782	21.1993
0.0150	0.0248	95.9929	24.8045
0.0200	0.0282	96.0339	28.1953
0.0250	0.0318	95.9560	31.7818
0.0300	0.0352	95.9647	35.1681
0.0350	0.0388	95.9916	38.8105
0.0400	0.0421	96.0364	42.1203
0.0450	0.0457	96.0403	45.7374
0.0500	0.0492	96.0148	49.1569
0.0550	0.0527	95.9437	52.7391
0.0600	0.0560	95.9089	56.0073
0.0650	0.0597	95.9547	59.7052
0.0700	0.0630	95.9879	63.0423
0.0750	0.0668	96.0060	66.7703
0.0800	0.0700	95.9271	70.0079
0.0850	0.0737	95.9828	73.6561
0.0900	0.0770	95.8831	76.9611
0.0950	0.0807	95.9296	80.6549
0.1000	0.0839	95.9063	83.8673
0.1050	0.0876	95.8803	87.6208
0.1100	0.0909	95.8885	90.8811
0.1150	0.0946	95.8389	94.6235
0.1200	0.0979	95.8246	97.8944
0.1250	0.1015	95.9345	101.5449
0.1300	0.1044	95.8101	104.4325
0.1350	0.1082	95.8590	108.2425
0.1400	0.1114	95.8155	111.3864
0.1450	0.1152	95.8472	115.1747
0.1500	0.1184	95.8180	118.4075
0.1550	0.1222	95.8418	122.1932
0.1600	0.1255	95.7599	125.4585
0.1650	0.1292	95.7934	129.1889
0.1700	0.1325	95.8391	132.4507
0.1750	0.1362	95.7857	136.2032
0.1800	0.1394	95.7573	139.4263
0.1850	0.1432	95.7293	143.2335
0.1900	0.1464	95.7210	146.3981
0.1950	0.1502	95.7583	150.2491
0.2000	0.1534	95.7361	153.4126
0.2050	0.1572	95.8002	157.2331
0.2100	0.1604	95.8021	160.3853
0.2150	0.1643	95.6626	164.2814
0.2200	0.1674	95.7884	167.3514
0.2250	0.1713	95.7119	171.2913
0.2300	0.1744	95.7747	174.3634
0.2350	0.1783	95.7670	178.2678
0.2400	0.1813	95.6941	181.3361
0.2450	0.1853	95.7820	185.3387
0.2500	0.1883	95.7433	188.3318
0.2550	0.1923	95.6850	192.3320
0.2600	0.1953	95.6978	195.3185
0.2650	0.1993	95.6626	199.2536
0.2700	0.2023	95.7668	202.3261
0.2750	0.2063	95.6275	206.3266
0.2800	0.2093	95.6592	209.3426
0.2850	0.2129	95.5289	212.9060
0.2900	0.2159	95.6317	215.8732
0.2950	0.2200	95.5534	219.9927
0.3000	0.2229	95.6635	222.9052
0.3050	0.2270	95.6290	226.9821
0.3100	0.2299	95.6233	229.9263
0.3150	0.2339	95.6532	233.9091
0.3200	0.2369	95.6493	236.9347
0.3250	0.2409	95.6482	240.9404
0.3300	0.2439	95.6727	243.9014
0.3350	0.2480	95.6298	247.9503
0.3400	0.2509	95.6151	250.8851
0.3450	0.2550	95.6013	254.9696
0.3500	0.2578	95.6331	257.8082
0.3550	0.2620	95.6389	261.9972
0.3600	0.2648	95.5689	264.8274
0.3650	0.2690	95.5292	269.0318
